Date	FinalDate	Value
2017-05-12	2017-06-08	391.722222222222
2017-05-12	2017-07-10	349
2017-05-15	2017-05-15	488.22
2017-05-15	2017-06-08	409
2017-05-15	2017-07-10	359.333333333333
2017-05-15	2017-08-08	260.333333333333
2017-05-15	2017-09-11	260.333333333333
2017-05-15	2017-10-09	260.333333333333
2017-05-15	2017-11-09	260.333333333333
2017-05-15	2017-12-08	260.333333333333
2017-05-15	2018-01-09	260.333333333333
2017-05-16	2017-05-16	488.22
2017-05-16	2017-06-08	410.5
2017-05-16	2017-07-10	364.5
2017-05-16	2017-08-08	310.375
2017-05-17	2017-05-17	488.22
2017-05-17	2017-07-10	360
2017-05-18	2017-05-18	488.22
2017-05-18	2017-07-10	351.5
2017-05-18	2017-08-08	305
2017-05-18	2017-09-11	244.869281045752
2017-05-18	2017-10-09	244.869281045752
2017-05-18	2017-11-09	244.869281045752
2017-05-18	2017-12-08	244.869281045752
2017-05-18	2018-01-09	244.869281045752
2017-05-19	2017-05-19	488.22
2017-05-19	2017-06-08	415
2017-05-19	2017-07-10	336.4
2017-05-19	2017-08-08	294
2017-05-19	2017-09-11	241.325490196078
2017-05-19	2017-10-09	241.325490196078
2017-05-19	2017-11-09	241.325490196078
2017-05-19	2017-12-08	241.325490196078
2017-05-19	2018-01-09	241.325490196078
2017-05-22	2017-05-22	486.24
2017-05-22	2017-06-08	385
2017-05-22	2017-07-10	235.522727272727
2017-05-23	2017-05-23	486.24
2017-05-23	2017-06-08	390
2017-05-23	2017-07-10	203.04
2017-05-23	2017-08-08	222
2017-05-23	2017-09-11	234.065573770492
2017-05-23	2017-10-09	234.065573770492
2017-05-23	2017-11-09	220
2017-05-23	2017-12-08	220
2017-05-23	2018-01-09	220
2017-05-24	2017-05-24	486.24
2017-05-24	2017-07-10	193.35
2017-05-24	2017-08-08	227
2017-05-24	2017-09-11	227
2017-05-24	2017-10-09	227
2017-05-24	2017-11-09	227
2017-05-24	2017-12-08	227
2017-05-24	2018-01-09	227
2017-05-25	2017-05-25	486.24
2017-05-25	2017-07-10	184.230769230769
2017-05-25	2017-08-08	207.5
2017-05-25	2017-09-11	207.5
2017-05-25	2017-10-09	207.5
2017-05-25	2017-11-09	207.5
2017-05-25	2017-12-08	207.5
2017-05-25	2018-01-09	207.5
2017-05-25	2018-02-08	200
2017-05-25	2018-03-08	200
2017-05-25	2018-04-09	200
2017-05-25	2018-05-09	200
2017-05-25	2018-06-08	200
2017-05-25	2018-07-09	200
2017-05-25	2018-08-08	200
2017-05-25	2018-09-11	200
2017-05-25	2018-10-08	200
2017-05-25	2018-11-09	200
2017-05-25	2018-12-10	200
2017-05-25	2019-01-09	200
2017-05-26	2017-05-26	486.24
2017-05-26	2017-08-08	209.153846153846
2017-05-26	2017-09-11	209.153846153846
2017-05-26	2017-10-09	209.153846153846
2017-05-26	2017-11-09	206.571428571429
2017-05-26	2017-12-08	206.571428571429
2017-05-26	2018-01-09	206.571428571429
2017-05-29	2017-05-29	166.86
2017-05-29	2017-07-10	103.5
2017-05-29	2017-08-08	160.25
2017-05-29	2017-09-11	160.25
2017-05-29	2017-10-09	160.25
2017-05-29	2017-11-09	160.25
2017-05-29	2017-12-08	160.25
2017-05-29	2018-01-09	160.25
2017-05-30	2017-05-30	166.86
2017-05-30	2017-07-10	100
2017-05-30	2017-08-08	117
2017-05-31	2017-05-31	166.86
2017-05-31	2017-07-10	94.8333333333333
2017-05-31	2017-08-08	112.307692307692
2017-05-31	2017-09-11	160.747549359314
2017-05-31	2017-10-09	160.747549359314
2017-05-31	2017-11-09	160.747549359314
2017-05-31	2017-12-08	160.747549359314
2017-05-31	2018-01-09	160.747549359314
2017-06-01	2017-06-01	166.86
2017-06-01	2017-07-10	95.8181818181818
2017-06-01	2017-08-08	153
2017-06-01	2017-09-11	153
2017-06-01	2017-10-09	153
2017-06-01	2017-11-09	153
2017-06-01	2017-12-08	153
2017-06-01	2018-01-09	153
2017-06-02	2017-06-02	166.86
2017-06-02	2017-08-08	165
2017-06-02	2017-09-11	165
2017-06-02	2017-10-09	165
2017-06-02	2017-11-09	165
2017-06-02	2017-12-08	165
2017-06-02	2018-01-09	165
2017-06-05	2017-06-05	142.26
2017-06-05	2017-08-08	140
2017-06-05	2017-09-11	177.371241830065
2017-06-05	2017-10-09	177.371241830065
2017-06-05	2017-11-09	177.371241830065
2017-06-05	2017-12-08	177.371241830065
2017-06-05	2018-01-09	177.371241830065
2017-06-06	2017-06-06	142.26
2017-06-06	2017-08-08	171.458333333333
2017-06-06	2017-09-11	171.458333333333
2017-06-06	2017-10-09	171.458333333333
2017-06-06	2017-11-09	171.458333333333
2017-06-06	2017-12-08	171.458333333333
2017-06-06	2018-01-09	171.458333333333
2017-06-07	2017-06-07	142.26
2017-06-07	2017-07-10	99
2017-06-07	2017-08-08	145
2017-06-07	2017-09-11	190.245901639344
2017-06-07	2017-10-09	190.245901639344
2017-06-07	2017-11-09	184
2017-06-07	2017-12-08	184
2017-06-07	2018-01-09	184
2017-06-08	2017-06-08	142.26
2017-06-08	2017-08-08	158.973684210526
2017-06-08	2017-09-11	195.210094909405
2017-06-08	2017-10-09	195.210094909405
2017-06-08	2017-11-09	185
2017-06-08	2017-12-08	185
2017-06-08	2018-01-09	185
2017-06-09	2017-06-09	142.26
2017-06-09	2017-08-08	165
2017-06-12	2017-06-12	139.88
2017-06-12	2017-07-10	106
2017-06-12	2017-08-08	177
2017-06-12	2017-09-11	207.16393442623
2017-06-12	2017-10-09	207.16393442623
2017-06-12	2017-11-09	207
2017-06-12	2017-12-08	207
2017-06-12	2018-01-09	207
2017-06-13	2017-06-13	139.88
2017-06-13	2017-07-10	105
2017-06-14	2017-06-14	139.88
2017-06-14	2017-07-10	108
2017-06-14	2017-08-08	198
2017-06-14	2017-09-11	198
2017-06-14	2017-10-09	198
2017-06-14	2017-11-09	207
2017-06-14	2017-12-08	207
2017-06-14	2018-01-09	207
2017-06-16	2017-06-16	139.88
2017-06-16	2017-08-08	190
2017-06-19	2017-06-19	172
2017-06-19	2017-08-08	207.9
2017-06-19	2017-09-11	220.870491803279
2017-06-19	2017-10-09	220.870491803279
2017-06-19	2017-11-09	221.3
2017-06-19	2017-12-08	221.3
2017-06-19	2018-01-09	221.3
2017-06-20	2017-06-20	172
2017-06-20	2017-07-10	116
2017-06-20	2017-08-08	171.58064516129
2017-06-20	2017-09-11	235
2017-06-20	2017-10-09	222.459016393443
2017-06-20	2017-11-09	222.459016393443
2017-06-20	2017-12-08	222.459016393443
2017-06-20	2018-01-09	222.459016393443
2017-06-21	2017-06-21	172
2017-06-21	2017-07-10	114.909090909091
2017-06-21	2017-08-08	208
2017-06-21	2017-09-11	225
2017-06-22	2017-06-22	172
2017-06-22	2017-08-08	214.953278688525
2017-06-22	2017-09-11	227
2017-06-22	2017-10-09	214.953278688525
2017-06-22	2017-11-09	212.03097826087
2017-06-22	2017-12-08	212.03097826087
2017-06-22	2018-01-09	212.03097826087
2017-06-23	2017-06-23	172
2017-06-23	2017-07-10	91.7333333333333
2017-06-23	2017-08-08	212.237831021438
2017-06-23	2017-09-11	229.338461538462
2017-06-23	2017-10-09	212.237831021438
2017-06-23	2017-11-09	208
2017-06-23	2017-12-08	208
2017-06-23	2018-01-09	208
2017-06-26	2017-06-26	201.07
2017-06-26	2017-07-10	115
2017-06-27	2017-06-27	201.07
2017-06-27	2017-08-08	205
2017-06-27	2017-09-11	225
2017-06-27	2017-10-09	196.761403508772
2017-06-27	2017-11-09	206.947368421053
2017-06-27	2017-12-08	206.947368421053
2017-06-27	2018-01-09	206.947368421053
2017-06-29	2017-06-29	201.07
2017-06-29	2017-08-08	213.714285714286
2017-06-29	2017-09-11	231.740740740741
2017-06-29	2017-10-09	208.229805996473
2017-06-29	2017-11-09	199
2017-06-29	2017-12-08	199
2017-06-29	2018-01-09	199
2017-06-30	2017-06-30	201.07
2017-06-30	2017-08-08	205.852459016393
2017-06-30	2017-09-11	233
2017-06-30	2017-10-09	205.852459016393
2017-06-30	2017-11-09	193.5
2017-06-30	2017-12-08	193.5
2017-06-30	2018-01-09	193.5
2017-07-03	2017-07-03	234.33
2017-07-03	2017-08-08	218.5
2017-07-03	2017-09-11	242.166666666667
2017-07-03	2017-10-09	200
2017-07-03	2017-11-09	180
2017-07-03	2017-12-08	180
2017-07-03	2018-01-09	180
2017-07-04	2017-07-04	234.33
2017-07-04	2017-08-08	222.5
2017-07-04	2017-09-11	248.1
2017-07-04	2017-10-09	200.646666666667
2017-07-04	2017-11-09	184
2017-07-04	2017-12-08	184
2017-07-04	2018-01-09	184
2017-07-05	2017-07-05	234.33
2017-07-05	2017-08-08	217
2017-07-05	2017-09-11	233.451612903226
2017-07-05	2017-10-09	200
2017-07-06	2017-07-06	234.33
2017-07-06	2017-08-08	215.599320882852
2017-07-06	2017-09-11	250.701754385965
2017-07-06	2017-10-09	201
2017-07-06	2017-11-09	180
2017-07-06	2017-12-08	180
2017-07-06	2018-01-09	180
2017-07-07	2017-07-07	234.33
2017-07-07	2017-08-08	222.666666666667
2017-07-07	2017-11-09	165.272727272727
2017-07-07	2017-12-08	165.272727272727
2017-07-07	2018-01-09	165.272727272727
2017-07-10	2017-07-10	255.55
2017-07-10	2017-08-08	223.74
2017-07-10	2017-09-11	257.45
2017-07-10	2017-10-09	204
2017-07-10	2018-02-08	191
2017-07-10	2018-03-08	191
2017-07-10	2018-04-09	191
2017-07-10	2018-05-09	191
2017-07-10	2018-06-08	191
2017-07-10	2018-07-09	191
2017-07-10	2018-08-08	191
2017-07-10	2018-09-11	191
2017-07-10	2018-10-08	191
2017-07-10	2018-11-09	191
2017-07-10	2018-12-10	191
2017-07-10	2019-01-09	191
2017-07-11	2017-07-11	255.55
2017-07-11	2017-08-08	225
2017-07-11	2017-09-11	260
2017-07-11	2017-10-09	208.482716049383
2017-07-12	2017-07-12	255.55
2017-07-12	2017-08-08	222.036666666667
